TIME,GEO,PRODUCT,CONSOM,UNIT,TAX,CURRENCY,Value
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,EUR,0.1001
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,PPS,0.0879
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,NAT,0.1001
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,EUR,0.1033
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,PPS,0.0907
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,NAT,0.1033
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,EUR,0.1095
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,PPS,0.0961
1/1/2007,LU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,NAT,0.1095
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,EUR,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,PPS,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,NAT,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,EUR,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,PPS,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding VAT and other recoverable taxes and levies,NAT,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,EUR,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,PPS,:
1/1/2007,HU,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,All taxes and levies included,NAT,:
1/1/2007,MT,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,EUR,:
1/1/2007,MT,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,PPS,:
1/1/2007,MT,Electrical energy,Band IC : 500 MWh < Consumption < 2 000 MWh,Kilowatt-hour,Excluding taxes and levies,NAT,:
